CaseID,Activity,StartTimestamp,EndTimestamp
0,place order,0.0,2.0
1,place order,2.0,4.0
2,place order,4.0,6.0
0,arrange standard order,6.0,21.0
1,arrange custom order,6.0,31.0
2,arrange standard order,6.0,18.0
3,place order,10.0,12.0
3,arrange standard order,12.0,23.0
2,pick from stock A,18.0,46.0
4,place order,20.0,22.0
0,pick from stock B,22.0,46.0
4,arrange custom order,22.0,44.0
3,pick from stock B,23.0,82.0
5,place order,30.0,32.0
1,manufacture A,32.0,292.0
5,arrange standard order,32.0,47.0
6,place order,40.0,42.0
6,arrange standard order,42.0,56.0
4,manufacture B,44.0,416.0
2,pack B,46.0,64.0
0,pack B,46.0,72.0
5,pick from stock B,47.0,73.0
7,place order,50.0,52.0
7,arrange standard order,52.0,67.0
6,pick from stock A,56.0,90.0
8,place order,60.0,62.0
8,arrange standard order,62.0,77.0
2,attempt delivery C,64.0,2507.0
9,place order,70.0,72.0
0,attempt delivery A,72.0,825.0
9,arrange standard order,72.0,86.0
5,pack A,73.0,93.0
7,pick from stock B,73.0,98.0
8,pick from stock A,77.0,102.0
10,place order,80.0,82.0
3,pack B,82.0,97.0
10,arrange standard order,82.0,93.0
11,place order,90.0,92.0
6,pack A,92.0,111.0
9,pick from stock A,92.0,120.0
11,arrange standard order,92.0,107.0
5,attempt delivery C,93.0,2908.0
10,pick from stock B,93.0,134.0
3,attempt delivery B,97.0,1772.0
7,pack C,98.0,138.0
12,place order,100.0,102.0
8,pack B,102.0,120.0
12,arrange custom order,102.0,123.0
11,pick from stock A,107.0,132.0
13,place order,110.0,112.0
6,attempt delivery A,112.0,1181.0
13,arrange standard order,112.0,123.0
14,place order,120.0,122.0
9,pack C,122.0,172.0
8,attempt delivery A,122.0,1486.0
14,arrange standard order,122.0,135.0
12,manufacture B,123.0,515.0
13,pick from stock A,123.0,155.0
15,place order,130.0,132.0
11,pack A,132.0,152.0
15,arrange standard order,132.0,147.0
10,pack B,134.0,153.0
14,pick from stock B,135.0,161.0
7,attempt delivery B,138.0,2170.0
16,place order,140.0,142.0
16,arrange custom order,142.0,171.0
15,pick from stock B,147.0,181.0
17,place order,150.0,152.0
11,attempt delivery B,152.0,2291.0
17,arrange standard order,152.0,165.0
10,attempt delivery B,153.0,2121.0
13,pack C,155.0,187.0
18,place order,160.0,162.0
14,pack B,162.0,185.0
18,arrange standard order,162.0,177.0
17,pick from stock A,165.0,192.0
19,place order,170.0,172.0
16,manufacture B,172.0,535.0
9,attempt delivery A,172.0,970.0
19,arrange standard order,172.0,185.0
18,pick from stock B,177.0,228.0
20,place order,180.0,182.0
15,pack C,182.0,225.0
20,arrange standard order,182.0,193.0
14,attempt delivery B,185.0,2077.0
19,pick from stock A,185.0,206.0
13,attempt delivery C,187.0,1867.0
17,pack B,192.0,220.0
20,pick from stock B,193.0,218.0
19,pack A,206.0,216.0
19,attempt delivery B,216.0,2227.0
20,pack B,218.0,246.0
17,attempt delivery C,220.0,1943.0
15,attempt delivery B,225.0,1764.0
18,pack C,228.0,256.0
20,attempt delivery B,246.0,2068.0
18,attempt delivery B,256.0,1846.0
21,place order,280.0,282.0
21,arrange custom order,282.0,302.0
22,place order,290.0,292.0
1,pack C,292.0,336.0
22,arrange custom order,292.0,320.0
23,place order,300.0,302.0
21,manufacture A,302.0,609.0
23,arrange custom order,302.0,325.0
24,place order,310.0,312.0
24,arrange custom order,312.0,338.0
