CaseID,Activity,Timestamp,Resource,IT-Support,Estimate
0,Register,2020-06-01 06:58:53+02:00,Mary,Julie,13.0
0,Investigate,2020-06-01 11:58:10+02:00,David,Julie,12.0
0,Fill Report,2020-06-01 14:58:07+02:00,Jane,Julie,
0,Send Answer,2020-06-01 16:59:19+02:00,Nathan,Julie,
0,Close,2020-06-01 19:06:34+02:00,Nathan,Julie,
1,Register,2020-06-01 07:01:44+02:00,David,Julie,18.0
1,Investigate,2020-06-01 12:03:57+02:00,Liam,Julie,19.0
1,Fill Report,2020-06-01 15:05:54+02:00,Luis,Julie,
1,Send Answer,2020-06-01 17:06:27+02:00,Samuel,Julie,
1,Close,2020-06-02 02:58:28+02:00,Samuel,Julie,
10,Register,2020-06-01 18:58:51+02:00,David,Julie,59.0
10,Investigate,2020-06-02 00:08:18+02:00,Liam,Julie,55.0
10,Follow Up,2020-06-02 14:07:53+02:00,Julie,Julie,
10,Investigate,2020-06-03 11:24:24+02:00,David,Julie,39.0
10,Fill Report,2020-06-03 17:15:41+02:00,Jane,Julie,
10,Send Answer,2020-06-03 19:17:02+02:00,Nathan,Julie,
10,Close,2020-06-04 11:26:52+02:00,Nathan,Julie,
100,Register,2020-06-10 11:47:40+02:00,David,Julie,93.0
100,Investigate,2020-06-12 23:49:20+02:00,Liam,Julie,96.0
100,Fill Report,2020-06-13 07:28:46+02:00,Luis,Julie,
100,Send Answer,2020-06-13 09:28:29+02:00,Luis,Julie,
100,Close,2020-06-14 05:08:27+02:00,Luis,Julie,
101,Register,2020-06-10 13:37:56+02:00,David,Julie,72.0
101,Investigate,2020-06-13 01:57:24+02:00,Liam,Julie,69.0
101,Fill Report,2020-06-13 12:33:26+02:00,Jane,Julie,
101,Send Answer,2020-06-13 14:34:40+02:00,Emma,Julie,
101,Close,2020-06-13 16:09:37+02:00,Emma,Julie,
102,Register,2020-06-10 17:48:41+02:00,Mary,Julie,955.0
102,Investigate,2020-06-13 04:02:34+02:00,Liam,Julie,990.0
102,Follow Up,2020-06-13 18:01:06+02:00,Julie,Julie,
102,Investigate,2020-06-17 16:25:59+02:00,David,Julie,709.0
102,Follow Up,2020-06-18 06:25:38+02:00,Eric,Julie,
102,Investigate,2020-06-24 09:16:13+02:00,Mary,Amy,508.0
102,Follow Up,2020-06-24 23:20:38+02:00,Amy,Amy,
102,Investigate,2020-07-05 15:27:29+02:00,Liam,Amy,364.0
102,Follow Up,2020-07-06 06:29:11+02:00,Julie,Eric,
102,Investigate,2020-07-21 22:48:51+02:00,David,Amy,260.0
102,Fill Report,2020-07-22 13:13:57+02:00,Jane,Amy,
102,Send Answer,2020-07-22 15:13:32+02:00,Emma,Amy,
102,Close,2020-07-22 17:03:00+02:00,Emma,Amy,
103,Register,2020-06-10 19:26:42+02:00,Liam,Julie,96.0
103,Investigate,2020-06-13 06:37:44+02:00,Liam,Julie,102.0
103,Fill Report,2020-06-13 17:34:41+02:00,Nathan,Julie,
103,Send Answer,2020-06-13 19:35:53+02:00,Luis,Julie,
103,Close,2020-06-15 04:18:21+02:00,Luis,Julie,
104,Register,2020-06-03 13:07:40+02:00,Mary,Julie,12.0
104,Frontline Resolution,2020-06-03 16:08:48+02:00,Luis,Julie,
104,Close,2020-06-04 00:25:06+02:00,Luis,Julie,
105,Register,2020-06-10 19:51:48+02:00,David,Julie,395.0
105,Investigate,2020-06-13 09:01:43+02:00,Mary,Julie,377.0
105,Follow Up,2020-06-13 23:01:53+02:00,Amy,Julie,
105,Investigate,2020-06-17 21:29:33+02:00,Mary,Julie,270.0
105,Follow Up,2020-06-18 12:27:29+02:00,Eric,Julie,
105,Investigate,2020-06-24 16:16:48+02:00,David,Amy,193.0
105,Fill Report,2020-06-25 06:32:56+02:00,Emma,Amy,
105,Send Answer,2020-06-25 08:33:16+02:00,Jane,Amy,
105,Close,2020-06-25 10:15:16+02:00,Jane,Amy,
106,Register,2020-06-10 20:51:02+02:00,Mary,Julie,190.0
106,Investigate,2020-06-13 10:05:00+02:00,Mary,Julie,171.0
106,Follow Up,2020-06-14 00:04:56+02:00,Amy,Julie,
106,Investigate,2020-06-17 22:34:00+02:00,Mary,Julie,122.0
106,Fill Report,2020-06-18 08:33:58+02:00,Jane,Julie,
106,Send Answer,2020-06-18 10:33:50+02:00,Jane,Julie,
106,Close,2020-06-18 12:27:09+02:00,Jane,Julie,
107,Register,2020-06-10 22:08:20+02:00,Mary,Julie,354.0
107,Investigate,2020-06-13 12:42:05+02:00,Mary,Julie,331.0
107,Follow Up,2020-06-14 02:43:45+02:00,Eric,Julie,
107,Investigate,2020-06-17 23:28:29+02:00,Liam,Julie,237.0
107,Follow Up,2020-06-18 13:27:03+02:00,Julie,Julie,
107,Investigate,2020-06-24 21:11:59+02:00,David,Amy,169.0
107,Send Answer,2020-06-25 10:35:16+02:00,Nathan,Amy,
107,Fill Report,2020-06-25 13:35:04+02:00,Jane,Amy,
107,Close,2020-06-25 17:50:57+02:00,Jane,Amy,
108,Register,2020-06-10 23:09:51+02:00,David,Julie,84.0
108,Investigate,2020-06-13 12:55:24+02:00,Liam,Julie,78.0
108,Fill Report,2020-06-14 03:44:36+02:00,Jane,Julie,
108,Send Answer,2020-06-14 05:45:49+02:00,Luis,Julie,
108,Close,2020-06-14 09:14:01+02:00,Luis,Julie,
109,Register,2020-06-11 00:08:30+02:00,Liam,Julie,176.0
109,Investigate,2020-06-13 18:47:41+02:00,David,Julie,171.0
109,Follow Up,2020-06-14 08:49:46+02:00,Julie,Julie,
109,Investigate,2020-06-18 08:18:08+02:00,David,Julie,122.0
109,Fill Report,2020-06-18 18:42:17+02:00,Luis,Julie,
109,Send Answer,2020-06-18 20:42:15+02:00,Samuel,Julie,
109,Close,2020-06-18 22:24:52+02:00,Samuel,Julie,
11,Register,2020-06-01 21:23:39+02:00,Mary,Julie,233.0
11,Investigate,2020-06-02 02:23:01+02:00,Mary,Julie,228.0
11,Follow Up,2020-06-02 16:23:35+02:00,Julie,Julie,
11,Investigate,2020-06-03 16:15:12+02:00,David,Julie,163.0
11,Fill Report,2020-06-03 22:18:31+02:00,Samuel,Julie,
11,Send Answer,2020-06-04 00:17:58+02:00,Jane,Julie,
11,Close,2020-06-10 11:18:20+02:00,Jane,Julie,
110,Register,2020-06-11 02:10:20+02:00,Mary,Julie,193.0
110,Investigate,2020-06-13 18:55:08+02:00,Mary,Julie,188.0
110,Follow Up,2020-06-14 08:54:00+02:00,Julie,Julie,
110,Investigate,2020-06-18 10:28:38+02:00,David,Julie,134.0
110,Send Answer,2020-06-18 22:44:52+02:00,Samuel,Julie,
110,Fill Report,2020-06-19 01:45:20+02:00,Samuel,Julie,
110,Close,2020-06-19 05:35:04+02:00,Samuel,Julie,
111,Register,2020-06-11 02:29:48+02:00,Mary,Julie,422.0
111,Investigate,2020-06-13 21:04:51+02:00,Mary,Julie,423.0
111,Follow Up,2020-06-14 14:50:23+02:00,Eric,Julie,
111,Investigate,2020-06-18 22:33:20+02:00,Liam,Julie,303.0
111,Follow Up,2020-06-19 12:32:41+02:00,Amy,Julie,
111,Investigate,2020-06-26 15:19:13+02:00,David,Amy,217.0
111,Fill Report,2020-06-27 03:57:05+02:00,Luis,Amy,
111,Send Answer,2020-06-27 05:57:04+02:00,Luis,Amy,
111,Close,2020-06-27 07:00:21+02:00,Luis,Amy,
112,Register,2020-06-11 02:41:39+02:00,David,Julie,629.0
112,Investigate,2020-06-13 21:10:07+02:00,Liam,Julie,641.0
112,Follow Up,2020-06-14 12:03:47+02:00,Eric,Julie,
112,Investigate,2020-06-18 17:31:21+02:00,David,Julie,459.0
112,Follow Up,2020-06-19 09:37:10+02:00,Eric,Julie,
112,Investigate,2020-06-26 14:21:07+02:00,Mary,Amy,328.0
112,Follow Up,2020-06-27 04:20:55+02:00,Eric,Amy,
112,Investigate,2020-07-09 01:48:13+02:00,David,Eric,235.0
112,Fill Report,2020-07-09 04:48:22+02:00,Jane,Eric,
112,Send Answer,2020-07-09 06:49:10+02:00,Luis,Eric,
112,Close,2020-07-09 08:50:47+02:00,Luis,Eric,
113,Register,2020-06-11 03:53:25+02:00,David,Julie,97.0
113,Investigate,2020-06-14 00:57:15+02:00,Liam,Julie,95.0
113,Fill Report,2020-06-14 08:51:53+02:00,Luis,Julie,
113,Send Answer,2020-06-14 10:52:34+02:00,Samuel,Julie,
113,Close,2020-06-14 17:08:41+02:00,Samuel,Julie,
114,Register,2020-06-11 04:10:17+02:00,Liam,Julie,200.0
114,Investigate,2020-06-14 02:53:03+02:00,Liam,Julie,203.0
114,Follow Up,2020-06-14 16:55:10+02:00,Eric,Julie,
114,Investigate,2020-06-19 04:34:44+02:00,David,Julie,145.0
114,Fill Report,2020-06-19 14:56:03+02:00,Jane,Julie,
114,Send Answer,2020-06-19 16:56:41+02:00,Emma,Julie,
114,Close,2020-06-19 18:33:59+02:00,Emma,Julie,
115,Register,2020-06-11 04:30:27+02:00,Mary,Julie,109.0
115,Investigate,2020-06-14 03:07:07+02:00,Liam,Julie,118.0
115,Fill Report,2020-06-14 13:57:14+02:00,Samuel,Julie,
