CaseID,Subscription,Component
0,Free,Navigation
1,Premium,Other
10,Free,Other
100,Free,Other
101,Free,Navigation
102,Premium,Checkout
103,Free,Navigation
104,Premium,Checkout
105,Free,Other
106,Free,Navigation
107,Free,Other
108,Premium,Navigation
109,Free,Other
11,Free,Other
110,Free,Navigation
111,Free,Other
112,Premium,Authentication
113,Free,Navigation
114,Premium,Navigation
115,Free,Navigation
116,Free,Navigation
117,Premium,Authentication
118,Free,Other
119,Free,Other
12,Free,Navigation
120,Free,Navigation
121,Free,Navigation
122,Free,Other
123,Free,Navigation
124,Premium,Other
125,Free,Other
126,Free,Checkout
127,Free,Navigation
128,Free,Other
129,Premium,Checkout
13,Free,Navigation
130,Free,Other
131,Free,Other
132,Premium,Navigation
133,Premium,Navigation
134,Free,Navigation
135,Premium,Checkout
136,Free,Navigation
137,Free,Other
138,Free,Navigation
139,Free,Other
14,Free,Navigation
140,Free,Navigation
141,Free,Other
142,Free,Navigation
143,Free,Navigation
144,Free,Navigation
145,Premium,Navigation
146,Free,Other
147,Free,Navigation
148,Premium,Checkout
149,Free,Other
15,Free,Other
150,Free,Other
151,Free,Navigation
152,Free,Other
153,Free,Navigation
154,Free,Navigation
155,Free,Other
156,Free,Navigation
157,Free,Navigation
158,Free,Other
159,Free,Navigation
16,Free,Other
160,Free,Navigation
161,Premium,Authentication
162,Free,Navigation
163,Free,Navigation
164,Free,Navigation
165,Free,Navigation
166,Free,Navigation
167,Free,Navigation
168,Free,Navigation
169,Free,Checkout
17,Free,Navigation
170,Free,Other
171,Free,Navigation
172,Free,Navigation
173,Free,Other
174,Premium,Navigation
175,Free,Other
176,Free,Navigation
177,Free,Other
178,Premium,Navigation
179,Free,Navigation
18,Free,Other
180,Premium,Navigation
181,Free,Navigation
182,Premium,Authentication
183,Free,Navigation
184,Free,Other
185,Free,Navigation
186,Free,Other
187,Premium,Navigation
188,Free,Navigation
189,Free,Other
19,Free,Navigation
190,Premium,Other
191,Free,Navigation
192,Premium,Navigation
193,Free,Other
194,Free,Other
195,Free,Other
196,Premium,Other
197,Free,Navigation
198,Free,Navigation
199,Free,Navigation
2,Free,Navigation
20,Free,Navigation
200,Free,Navigation
201,Free,Other
202,Free,Navigation
203,Premium,Navigation
204,Free,Navigation
205,Free,Navigation
206,Free,Other
207,Free,Navigation
208,Free,Other
209,Free,Navigation
21,Free,Navigation
210,Premium,Other
211,Free,Other
212,Free,Other
213,Free,Other
214,Free,Other
215,Free,Other
216,Premium,Navigation
217,Free,Navigation
218,Free,Other
219,Free,Other
22,Free,Other
220,Free,Navigation
221,Free,Navigation
222,Free,Navigation
223,Premium,Authentication
224,Free,Other
225,Premium,Navigation
226,Premium,Navigation
227,Premium,Authentication
228,Free,Navigation
229,Free,Other
23,Free,Navigation
230,Free,Other
231,Premium,Other
232,Premium,Other
233,Free,Other
234,Free,Other
235,Free,Other
236,Premium,Navigation
237,Free,Other
238,Free,Navigation
239,Free,Navigation
24,Premium,Navigation
240,Free,Other
241,Free,Other
242,Free,Navigation
243,Free,Other
244,Free,Other
245,Premium,Navigation
246,Free,Navigation
247,Free,Other
248,Free,Other
249,Free,Other
25,Free,Navigation
250,Premium,Checkout
251,Premium,Other
252,Free,Other
253,Premium,Authentication
254,Premium,Checkout
255,Free,Navigation
256,Free,Other
257,Free,Other
258,Free,Navigation
259,Free,Navigation
26,Free,Navigation
260,Premium,Navigation
261,Premium,Other
262,Free,Navigation
263,Free,Other
264,Free,Navigation
265,Free,Other
266,Premium,Authentication
267,Free,Other
268,Free,Navigation
269,Free,Navigation
27,Free,Navigation
270,Free,Navigation
271,Free,Navigation
272,Free,Other
273,Free,Other
274,Premium,Other
275,Free,Other
276,Free,Other
277,Free,Other
278,Free,Navigation
279,Free,Navigation
28,Free,Navigation
280,Premium,Navigation
281,Free,Navigation
282,Free,Navigation
283,Free,Navigation
284,Free,Other
285,Free,Navigation
286,Free,Navigation
