CaseID,Activity,StartTimestamp,EndTimestamp
0,place order,2023-07-08 01:28,2023-07-08 01:30
1,place order,2023-07-08 01:30,2023-07-08 01:30
2,place order,2023-07-08 01:32,2023-07-08 01:30
0,arrange standard order,2023-07-08 01:34,2023-07-08 01:42
1,arrange custom order,2023-07-08 01:34,2023-07-08 01:58
2,arrange standard order,2023-07-08 01:34,2023-07-08 01:38
3,place order,2023-07-08 01:39,2023-07-08 01:30
3,arrange standard order,2023-07-08 01:41,2023-07-08 01:41
2,pick from stock B,2023-07-08 01:44,2023-07-08 02:09
0,pick from stock A,2023-07-08 01:48,2023-07-08 01:45
4,place order,2023-07-08 01:52,2023-07-08 01:30
3,pick from stock C,2023-07-08 01:54,2023-07-08 02:28
4,arrange custom order,2023-07-08 01:54,2023-07-08 01:48
5,place order,2023-07-08 02:03,2023-07-08 01:30
1,manufacture A,2023-07-08 02:05,2023-07-08 06:18
0,pack A,2023-07-08 02:05,2023-07-08 01:45
5,arrange custom order,2023-07-08 02:05,2023-07-08 01:48
6,place order,2023-07-08 02:14,2023-07-08 01:30
4,manufacture A,2023-07-08 02:16,2023-07-08 06:19
6,arrange standard order,2023-07-08 02:16,2023-07-08 01:43
0,attempt delivery C,2023-07-08 02:22, 
2,pack A,2023-07-08 02:25,2023-07-08 01:42
5,manufacture B,2023-07-08 02:25, 
7,place order,2023-07-08 02:26,2023-07-08 01:30
7,arrange standard order,2023-07-08 02:28,2023-07-08 01:42
6,pick from stock A,2023-07-08 02:31,2023-07-08 01:46
8,place order,2023-07-08 02:39,2023-07-08 01:30
2,attempt delivery A,2023-07-08 02:41, 
8,arrange standard order,2023-07-08 02:41,2023-07-08 01:43
7,pick from stock A,2023-07-08 02:42,2023-07-08 01:55
6,pack C,2023-07-08 02:49,2023-07-08 02:18
9,place order,2023-07-08 02:54,2023-07-08 01:30
3,pack C,2023-07-08 02:56,2023-07-08 02:10
8,pick from stock C,2023-07-08 02:56,2023-07-08 02:05
9,arrange standard order,2023-07-08 02:56,2023-07-08 01:43
10,place order,2023-07-08 03:08,2023-07-08 01:30
7,pack B,2023-07-08 03:10,2023-07-08 01:55
10,arrange standard order,2023-07-08 03:10,2023-07-08 01:41
9,pick from stock B,2023-07-08 03:11,2023-07-08 02:28
11,place order,2023-07-08 03:18,2023-07-08 01:30
11,arrange standard order,2023-07-08 03:20,2023-07-08 01:39
10,pick from stock B,2023-07-08 03:23,2023-07-08 01:49
12,place order,2023-07-08 03:29,2023-07-08 01:30
11,pick from stock C,2023-07-08 03:31,2023-07-08 02:20
12,arrange custom order,2023-07-08 03:31,2023-07-08 01:56
8,pack B,2023-07-08 03:33,2023-07-08 02:05
7,attempt delivery B,2023-07-08 03:37, 
3,attempt delivery A,2023-07-08 03:38, 
6,attempt delivery C,2023-07-08 03:39, 
13,place order,2023-07-08 03:41,2023-07-08 01:30
